PLANT_ID,TIME_ID,TIME,SPECIES,TREATMENT,NUM_EGGS_PRESENT,PROP_SURV
1,1,12P,SYR,CLOSED,2,1
1,1,12P,SYR,OPEN,2,1
2,1,12P,SYR,CLOSED,2,1
2,1,12P,SYR,OPEN,2,1
3,1,12P,SYR,CLOSED,2,1
3,1,12P,SYR,OPEN,2,1
4,1,12P,SYR,CLOSED,2,1
4,1,12P,SYR,OPEN,2,1
5,1,12P,SYR,CLOSED,2,1
5,1,12P,SYR,OPEN,2,1
6,1,12P,SYR,CLOSED,2,1
6,1,12P,SYR,OPEN,2,1
7,1,12P,SYR,CLOSED,2,1
7,1,12P,SYR,OPEN,2,1
8,1,12P,SYR,CLOSED,2,1
8,1,12P,SYR,OPEN,2,1
9,1,12P,SYR,CLOSED,2,1
9,1,12P,SYR,OPEN,2,1
10,1,12P,SYR,CLOSED,2,1
10,1,12P,SYR,OPEN,2,1
11,1,12P,SYR,CLOSED,2,1
11,1,12P,SYR,OPEN,2,1
12,1,12P,SYR,CLOSED,2,1
12,1,12P,SYR,OPEN,2,1
13,1,12P,SYR,CLOSED,2,1
13,1,12P,SYR,OPEN,2,1
14,1,12P,SYR,CLOSED,2,1
14,1,12P,SYR,OPEN,2,1
15,1,12P,SYR,CLOSED,2,1
15,1,12P,SYR,OPEN,2,1
16,1,12P,INC,CLOSED,2,1
16,1,12P,INC,OPEN,2,1
17,1,12P,INC,CLOSED,2,1
17,1,12P,INC,OPEN,2,1
18,1,12P,INC,CLOSED,2,1
18,1,12P,INC,OPEN,2,1
19,1,12P,INC,CLOSED,2,1
19,1,12P,INC,OPEN,2,1
20,1,12P,INC,CLOSED,2,1
20,1,12P,INC,OPEN,2,1
21,1,12P,INC,CLOSED,2,1
21,1,12P,INC,OPEN,2,1
22,1,12P,INC,CLOSED,2,1
22,1,12P,INC,OPEN,2,1
23,1,12P,INC,CLOSED,2,1
23,1,12P,INC,OPEN,2,1
24,1,12P,INC,CLOSED,2,1
24,1,12P,INC,OPEN,1,0.5
25,1,12P,INC,CLOSED,2,1
25,1,12P,INC,OPEN,2,1
26,1,12P,INC,CLOSED,2,1
26,1,12P,INC,OPEN,2,1
27,1,12P,INC,CLOSED,2,1
27,1,12P,INC,OPEN,2,1
28,1,12P,INC,CLOSED,2,1
28,1,12P,INC,OPEN,2,1
29,1,12P,INC,CLOSED,2,1
29,1,12P,INC,OPEN,2,1
30,1,12P,INC,CLOSED,2,1
30,1,12P,INC,OPEN,2,1
1,2,2P,SYR,CLOSED,2,1
1,2,2P,SYR,OPEN,2,1
2,2,2P,SYR,CLOSED,2,1
2,2,2P,SYR,OPEN,2,1
3,2,2P,SYR,CLOSED,2,1
3,2,2P,SYR,OPEN,2,1
4,2,2P,SYR,CLOSED,2,1
4,2,2P,SYR,OPEN,2,1
5,2,2P,SYR,CLOSED,2,1
5,2,2P,SYR,OPEN,2,1
6,2,2P,SYR,CLOSED,2,1
6,2,2P,SYR,OPEN,2,1
7,2,2P,SYR,CLOSED,2,1
7,2,2P,SYR,OPEN,2,1
8,2,2P,SYR,CLOSED,2,1
8,2,2P,SYR,OPEN,2,1
9,2,2P,SYR,CLOSED,2,1
9,2,2P,SYR,OPEN,2,1
10,2,2P,SYR,CLOSED,2,1
10,2,2P,SYR,OPEN,2,1
11,2,2P,SYR,CLOSED,2,1
11,2,2P,SYR,OPEN,2,1
12,2,2P,SYR,CLOSED,2,1
12,2,2P,SYR,OPEN,2,1
13,2,2P,SYR,CLOSED,2,1
13,2,2P,SYR,OPEN,2,1
14,2,2P,SYR,CLOSED,2,1
14,2,2P,SYR,OPEN,2,1
15,2,2P,SYR,CLOSED,2,1
15,2,2P,SYR,OPEN,2,1
16,2,2P,SYR,CLOSED,2,1
16,2,2P,INC,OPEN,2,1
17,2,2P,INC,CLOSED,2,1
17,2,2P,INC,OPEN,2,1
18,2,2P,INC,CLOSED,2,1
18,2,2P,INC,OPEN,2,1
19,2,2P,INC,CLOSED,2,1
19,2,2P,INC,OPEN,2,1
20,2,2P,INC,CLOSED,2,1
20,2,2P,INC,OPEN,2,1
21,2,2P,INC,CLOSED,2,1
21,2,2P,INC,OPEN,2,1
22,2,2P,INC,CLOSED,2,1
22,2,2P,INC,OPEN,2,1
23,2,2P,INC,CLOSED,2,1
23,2,2P,INC,OPEN,2,1
24,2,2P,INC,CLOSED,2,1
24,2,2P,INC,OPEN,1,0.5
25,2,2P,INC,CLOSED,2,1
25,2,2P,INC,OPEN,2,1
26,2,2P,INC,CLOSED,2,1
26,2,2P,INC,OPEN,2,1
27,2,2P,INC,CLOSED,2,1
27,2,2P,INC,OPEN,2,1
28,2,2P,INC,CLOSED,2,1
28,2,2P,INC,OPEN,2,1
29,2,2P,INC,CLOSED,2,1
29,2,2P,INC,OPEN,2,1
30,2,2P,INC,CLOSED,2,1
30,2,2P,INC,OPEN,2,1
1,3,4P,SYR,CLOSED,2,1
1,3,4P,SYR,OPEN,2,1
2,3,4P,SYR,CLOSED,2,1
2,3,4P,SYR,OPEN,2,1
3,3,4P,SYR,CLOSED,2,1
3,3,4P,SYR,OPEN,2,1
4,3,4P,SYR,CLOSED,2,1
4,3,4P,SYR,OPEN,2,1
5,3,4P,SYR,CLOSED,2,1
5,3,4P,SYR,OPEN,2,1
6,3,4P,SYR,CLOSED,2,1
6,3,4P,SYR,OPEN,1,0.5
7,3,4P,SYR,CLOSED,2,1
