PLANT_ID,TIME,HOURS_POST_DEPLOY,SPECIES,TREATMENT,NUM_EGG_PRESENT,PROP_SURV
1,1200,2,SYR,CLOSED,2,1
2,1200,2,SYR,CLOSED,2,1
3,1200,2,SYR,CLOSED,2,1
4,1200,2,SYR,CLOSED,2,1
5,1200,2,SYR,CLOSED,2,1
6,1200,2,SYR,CLOSED,2,1
7,1200,2,SYR,CLOSED,2,1
8,1200,2,SYR,CLOSED,2,1
9,1200,2,SYR,CLOSED,2,1
10,1200,2,SYR,CLOSED,2,1
11,1200,2,SYR,CLOSED,2,1
12,1200,2,SYR,CLOSED,2,1
13,1200,2,SYR,CLOSED,2,1
14,1200,2,SYR,CLOSED,2,1
15,1200,2,SYR,CLOSED,2,1
16,1200,2,INC,CLOSED,2,1
17,1200,2,INC,CLOSED,2,1
18,1200,2,INC,CLOSED,2,1
19,1200,2,INC,CLOSED,2,1
20,1200,2,INC,CLOSED,2,1
21,1200,2,INC,CLOSED,2,1
22,1200,2,INC,CLOSED,2,1
23,1200,2,INC,CLOSED,2,1
24,1200,2,INC,CLOSED,2,1
25,1200,2,INC,CLOSED,2,1
26,1200,2,INC,CLOSED,2,1
27,1200,2,INC,CLOSED,2,1
28,1200,2,INC,CLOSED,2,1
29,1200,2,INC,CLOSED,2,1
30,1200,2,INC,CLOSED,2,1
1,1200,2,SYR,OPEN,2,1
2,1200,2,SYR,OPEN,2,1
3,1200,2,SYR,OPEN,2,1
4,1200,2,SYR,OPEN,2,1
5,1200,2,SYR,OPEN,2,1
6,1200,2,SYR,OPEN,2,1
7,1200,2,SYR,OPEN,2,1
8,1200,2,SYR,OPEN,2,1
9,1200,2,SYR,OPEN,2,1
10,1200,2,SYR,OPEN,2,1
11,1200,2,SYR,OPEN,2,1
12,1200,2,SYR,OPEN,2,1
13,1200,2,SYR,OPEN,2,1
14,1200,2,SYR,OPEN,2,1
15,1200,2,SYR,OPEN,2,1
16,1200,2,INC,OPEN,2,1
17,1200,2,INC,OPEN,2,1
18,1200,2,INC,OPEN,2,1
19,1200,2,INC,OPEN,2,1
20,1200,2,INC,OPEN,2,1
21,1200,2,INC,OPEN,2,1
22,1200,2,INC,OPEN,2,1
23,1200,2,INC,OPEN,2,1
24,1200,2,INC,OPEN,1,0.5
25,1200,2,INC,OPEN,2,1
26,1200,2,INC,OPEN,2,1
27,1200,2,INC,OPEN,2,1
28,1200,2,INC,OPEN,2,1
29,1200,2,INC,OPEN,2,1
30,1200,2,INC,OPEN,2,1
1,1400,4,SYR,CLOSED,2,1
2,1400,4,SYR,CLOSED,2,1
3,1400,4,SYR,CLOSED,2,1
4,1400,4,SYR,CLOSED,2,1
5,1400,4,SYR,CLOSED,2,1
6,1400,4,SYR,CLOSED,2,1
7,1400,4,SYR,CLOSED,2,1
8,1400,4,SYR,CLOSED,2,1
9,1400,4,SYR,CLOSED,2,1
10,1400,4,SYR,CLOSED,2,1
11,1400,4,SYR,CLOSED,2,1
12,1400,4,SYR,CLOSED,2,1
13,1400,4,SYR,CLOSED,2,1
14,1400,4,SYR,CLOSED,2,1
15,1400,4,SYR,CLOSED,2,1
16,1400,4,INC,CLOSED,2,1
17,1400,4,INC,CLOSED,2,1
18,1400,4,INC,CLOSED,2,1
19,1400,4,INC,CLOSED,2,1
20,1400,4,INC,CLOSED,2,1
21,1400,4,INC,CLOSED,2,1
22,1400,4,INC,CLOSED,2,1
23,1400,4,INC,CLOSED,2,1
24,1400,4,INC,CLOSED,2,1
25,1400,4,INC,CLOSED,2,1
26,1400,4,INC,CLOSED,2,1
27,1400,4,INC,CLOSED,2,1
28,1400,4,INC,CLOSED,2,1
29,1400,4,INC,CLOSED,2,1
30,1400,4,INC,CLOSED,2,1
1,1400,4,SYR,OPEN,2,1
2,1400,4,SYR,OPEN,2,1
3,1400,4,SYR,OPEN,2,1
4,1400,4,SYR,OPEN,2,1
5,1400,4,SYR,OPEN,2,1
6,1400,4,SYR,OPEN,2,1
7,1400,4,SYR,OPEN,2,1
8,1400,4,SYR,OPEN,2,1
9,1400,4,SYR,OPEN,2,1
10,1400,4,SYR,OPEN,2,1
11,1400,4,SYR,OPEN,2,1
12,1400,4,SYR,OPEN,2,1
13,1400,4,SYR,OPEN,2,1
14,1400,4,SYR,OPEN,2,1
15,1400,4,SYR,OPEN,2,1
16,1400,4,INC,OPEN,2,1
17,1400,4,INC,OPEN,2,1
18,1400,4,INC,OPEN,2,1
19,1400,4,INC,OPEN,2,1
20,1400,4,INC,OPEN,2,1
21,1400,4,INC,OPEN,2,1
22,1400,4,INC,OPEN,2,1
23,1400,4,INC,OPEN,2,1
24,1400,4,INC,OPEN,1,0.5
25,1400,4,INC,OPEN,2,1
26,1400,4,INC,OPEN,2,1
27,1400,4,INC,OPEN,2,1
28,1400,4,INC,OPEN,2,1
29,1400,4,INC,OPEN,2,1
30,1400,4,INC,OPEN,2,1
1,1600,6,SYR,CLOSED,2,1
2,1600,6,SYR,CLOSED,2,1
3,1600,6,SYR,CLOSED,2,1
4,1600,6,SYR,CLOSED,2,1
5,1600,6,SYR,CLOSED,2,1
6,1600,6,SYR,CLOSED,2,1
7,1600,6,SYR,CLOSED,2,1
8,1600,6,SYR,CLOSED,2,1
9,1600,6,SYR,CLOSED,2,1
10,1600,6,SYR,CLOSED,2,1
11,1600,6,SYR,CLOSED,2,1
12,1600,6,SYR,CLOSED,2,1
13,1600,6,SYR,CLOSED,2,1
14,1600,6,SYR,CLOSED,2,1
15,1600,6,SYR,CLOSED,2,1
16,1600,6,INC,CLOSED,2,1
17,1600,6,INC,CLOSED,2,1
18,1600,6,INC,CLOSED,2,1
19,1600,6,INC,CLOSED,2,1
20,1600,6,INC,CLOSED,2,1
21,1600,6,INC,CLOSED,2,1
22,1600,6,INC,CLOSED,2,1
23,1600,6,INC,CLOSED,2,1
24,1600,6,INC,CLOSED,2,1
25,1600,6,INC,CLOSED,2,1
26,1600,6,INC,CLOSED,2,1
27,1600,6,INC,CLOSED,2,1
28,1600,6,INC,CLOSED,2,1
29,1600,6,INC,CLOSED,2,1
30,1600,6,INC,CLOSED,2,1
1,1600,6,SYR,OPEN,2,1
2,1600,6,SYR,OPEN,2,1
3,1600,6,SYR,OPEN,2,1
4,1600,6,SYR,OPEN,2,1
5,1600,6,SYR,OPEN,2,1
6,1600,6,SYR,OPEN,1,0.5
7,1600,6,SYR,OPEN,2,1
8,1600,6,SYR,OPEN,2,1
9,1600,6,SYR,OPEN,2,1
10,1600,6,SYR,OPEN,2,1
11,1600,6,SYR,OPEN,2,1
12,1600,6,SYR,OPEN,1,0.5
13,1600,6,SYR,OPEN,2,1
14,1600,6,SYR,OPEN,0,0
15,1600,6,SYR,OPEN,2,1
16,1600,6,INC,OPEN,2,1
17,1600,6,INC,OPEN,2,1
18,1600,6,INC,OPEN,2,1
19,1600,6,INC,OPEN,2,1
20,1600,6,INC,OPEN,2,1
21,1600,6,INC,OPEN,2,1
22,1600,6,INC,OPEN,2,1
23,1600,6,INC,OPEN,2,1
24,1600,6,INC,OPEN,1,0.5
